{{{0, 0, 0, 1}, {0, 1, 0, -1}, {1, 0, 0, 0}}, 1, 8.754887502163468}
{{{-1, 0, 0, 1}, {1, -1, 0, 1}, {1, -1, -1, 1}}, 28, 40.4063719565667}
{{{0, 1, 1, -1}, {0, -1, 0, 1}, {1, 0, 0, 0}}, 29, 21.11941547876375}
{{{0, 0, 1, 1}, {0, 1, -1, -1}, {1, -1, 0, 1}}, 30, 35.11941547876375}
{{{1, 1, 0, -1}, {-1, 1, 1, 0}, {-1, 1, 0, 0}}, 31, 33.01955000865387}
{{{1, 1, -1, 0}, {1, 1, 0, 0}, {0, -1, 1, 1}}, 32, 33.50977500432693}
{{{0, 0, -1, 1}, {1, 0, 1, -1}, {0, 0, 1, -1}}, 33, 29.11941547876375}
{{{1, 0, -1, 0}, {0, -1, 1, 1}, {0, 1, -1, 1}}, 34, 35.11941547876375}
{{{-1, -1, 1, 0}, {1, 0, 0, 0}, {1, -1, 1, 1}}, 35, 32.72905595320056}
{{{0, 1, 1, -1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 36, 19.509775004326936}
{{{-1, 0, 1, 0}, {0, -1, 1, -1}, {1, 0, -1, 0}}, 37, 27.019550008653873}
{{{1, 1, 1, -1}, {0, -1, 0, 1}, {1, -1, 0, 0}}, 38, 34.406371956566694}
{{{0, -1, 0, 1}, {-1, 1, 1, -1}, {1, 0, 0, 0}}, 39, 26.36452797660028}
{{{1, 1, -1, 0}, {-1, 1, 0, 0}, {1, -1, 1, 1}}, 40, 39.87430298092722}
{{{0, -1, 0, 1}, {-1, 1, 0, -1}, {1, 0, 0, 0}}, 41, 19.509775004326936}
{{{-1, 0, 1, 1}, {0, -1, 1, 1}, {-1, -1, 1, 0}}, 42, 40.72905595320056}
{{{-1, -1, 0, 1}, {0, 1, 0, 0}, {-1, -1, 0, 1}}, 43, 29.11941547876375}
{{{1, 0, 1, 1}, {0, 1, -1, -1}, {1, -1, 0, 1}}, 44, 40.72905595320056}
{{{-1, 0, 1, 1}, {-1, -1, 1, 1}, {0, -1, 1, 0}}, 45, 41.26112492884004}
{{{1, 0, 0, 1}, {-1, 1, 1, -1}, {0, -1, 1, 0}}, 46, 33.50977500432693}
{{{0, -1, 1, 1}, {0, -1, 1, 1}, {0, 1, 0, 0}}, 47, 31.87430298092721}
{{{1, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, 0, 0}}, 48, 26.36452797660028}
{{{0, 0, -1, 1}, {1, -1, 1, 0}, {0, 0, 1, 1}}, 49, 28.264662506490403}
{{{1, 0, 0, 0}, {1, 1, 1, -1}, {-1, 1, 0, 0}}, 50, 25.87430298092722}
{{{0, 0, 1, 0}, {1, 0, 0, 0}, {1, 1, -1, 0}}, 51, 13.509775004326936}
{{{0, 1, -1, -1}, {0, 1, -1, -1}, {1, 1, -1, 0}}, 52, 42.62919048309068}
{{{0, 0, 1, 1}, {0, 1, 1, -1}, {1, 0, -1, 0}}, 53, 28.264662506490403}
{{{0, 0, 1, 0}, {1, 0, 1, 0}, {0, 1, -1, 0}}, 54, 15.609640474436812}
{{{0, 0, -1, 1}, {1, 0, 0, 0}, {-1, -1, 1, 0}}, 55, 19.509775004326936}
{{{1, 0, 0, 1}, {-1, 0, 0, 1}, {1, -1, -1, 1}}, 56, 33.916146960893634}
{{{0, 1, -1, 1}, {1, -1, 1, 0}, {0, -1, 1, 0}}, 57, 35.774437510817336}
{{{-1, 1, 0, -1}, {-1, 1, -1, 0}, {-1, 0, 1, -1}}, 58, 39.5838089254739}
{{{-1, 0, 1, -1}, {0, -1, 1, -1}, {1, 0, 0, 0}}, 59, 26.36452797660028}
{{{1, 0, 1, 1}, {-1, 1, 0, -1}, {1, 0, -1, 1}}, 60, 39.87430298092722}
{{{1, 1, -1, 0}, {-1, 1, -1, 1}, {1, 0, 0, 0}}, 61, 33.87430298092722}
{{{1, 1, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 62, 20.36452797660028}
{{{1, 0, -1, 1}, {0, 0, -1, 1}, {1, -1, -1, 1}}, 63, 41.26112492884004}
{{{-1, -1, 0, 1}, {0, 1, -1, -1}, {-1, -1, -1, 1}}, 64, 48.77089993316697}
{{{1, 0, -1, 0}, {0, -1, 1, -1}, {-1, -1, 1, 1}}, 65, 41.019550008653866}
{{{-1, -1, 1, -1}, {0, 1, 0, 1}, {-1, 1, -1, 1}}, 66, 49.302968908806456}
{{{1, 0, 0, 1}, {-1, 1, 0, -1}, {0, -1, 1, 0}}, 67, 26.}
{{{0, 1, -1, 1}, {1, -1, 0, 0}, {1, 0, 1, 0}}, 68, 26.36452797660028}
{{{1, 1, -1, 1}, {0, 1, -1, 1}, {1, 0, 0, 0}}, 69, 33.87430298092722}
{{{0, 0, 1, -1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 70, 13.509775004326936}
{{{0, 1, -1, 1}, {1, 0, 1, -1}, {-1, 0, 1, -1}}, 71, 41.019550008653866}
{{{-1, 0, 0, 1}, {-1, -1, 0, 1}, {-1, -1, 1, 1}}, 72, 40.4063719565667}
{{{1, 1, 1, -1}, {1, 0, 0, 1}, {1, 0, 0, 0}}, 73, 25.87430298092722}
{{{1, 1, 1, -1}, {1, 0, -1, 1}, {1, -1, -1, 1}}, 74, 55.42592196522057}
{{{0, 1, -1, 1}, {1, -1, 0, 0}, {0, 0, 1, 0}}, 75, 21.609640474436812}
{{{-1, 1, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 0}}, 76, 20.36452797660028}
{{{-1, 1, 0, -1}, {-1, 1, 0, -1}, {-1, -1, 1, -1}}, 77, 47.916146960893634}
{{{0, 0, -1, 1}, {0, 0, 1, -1}, {-1, 0, 1, -1}}, 78, 29.11941547876375}
{{{-1, 0, 1, 0}, {0, -1, 1, -1}, {1, -1, 0, 0}}, 79, 26.36452797660028}
{{{1, 0, 0, 0}, {0, -1, 1, 1}, {1, 1, -1, 0}}, 80, 26.36452797660028}
{{{-1, 0, 1, -1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 81, 19.019550008653873}
{{{-1, 0, 0, 1}, {0, -1, 0, 1}, {-1, 1, -1, 1}}, 82, 34.406371956566694}
{{{1, 1, -1, 1}, {1, 0, 0, 0}, {0, 0, 1, 0}}, 83, 20.36452797660028}
{{{0, 0, -1, 1}, {0, -1, 0, 1}, {1, 0, 0, 0}}, 84, 14.264662506490406}
{{{-1, 1, 1, -1}, {0, 0, 0, 1}, {1, 0, 0, 0}}, 85, 20.36452797660028}
{{{0, -1, 1, -1}, {0, 0, 0, 1}, {1, 0, 0, 0}}, 86, 14.754887502163468}
{{{-1, 0, 1, 0}, {0, -1, 1, -1}, {1, -1, -1, 0}}, 87, 33.50977500432693}
{{{0, 1, -1, 1}, {0, 0, 1, -1}, {-1, 0, 1, -1}}, 88, 35.11941547876375}
{{{0, 0, -1, 1}, {-1, 0, 0, 1}, {-1, 0, 1, 1}}, 89, 27.509775004326933}
{{{0, -1, 1, 1}, {1, 0, 0, 0}, {0, 1, -1, 1}}, 90, 27.974168451037094}
{{{-1, 0, 1, -1}, {1, 0, -1, 0}, {1, -1, 1, 0}}, 91, 32.364527976600286}
{{{-1, 1, -1, 1}, {-1, 0, 0, 1}, {-1, 1, -1, 1}}, 92, 47.916146960893634}
{{{1, 0, 0, 0}, {-1, -1, 0, 1}, {-1, 1, 0, 0}}, 93, 19.019550008653873}
{{{-1, 1, -1, -1}, {-1, 1, 0, -1}, {-1, 0, 1, -1}}, 94, 47.38407798525415}
{{{-1, -1, 1, 0}, {1, -1, 1, -1}, {-1, -1, 1, 0}}, 95, 47.916146960893634}
{{{0, 0, 0, 1}, {1, 1, 1, -1}, {1, 0, -1, 0}}, 96, 27.509775004326933}
{{{0, 0, -1, 1}, {0, 0, 1, -1}, {-1, -1, 1, -1}}, 97, 36.0160124310035}
{{{1, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, -1, 0}}, 98, 33.219280948873624}
{{{-1, 0, 0, 1}, {0, -1, 0, 1}, {0, 1, -1, 0}}, 99, 20.75488750216347}
{{{0, 0, 1, 1}, {0, 1, -1, -1}, {1, -1, -1, 1}}, 100, 43.16125945873016}
{{{1, 1, 0, -1}, {-1, 1, 1, 0}, {0, 1, 0, 0}}, 101, 27.509775004326933}
{{{1, 0, 0, 1}, {0, 1, 1, -1}, {0, -1, 1, 0}}, 102, 27.609640474436812}
{{{-1, 1, -1, 1}, {1, 0, 0, 0}, {1, 0, 1, 0}}, 103, 25.87430298092722}
{{{1, -1, 0, 0}, {0, -1, 1, 1}, {0, 1, 0, 0}}, 104, 21.609640474436812}
{{{0, -1, 1, 1}, {1, 0, 0, 0}, {0, 1, -1, -1}}, 105, 27.974168451037094}
{{{-1, 0, -1, 1}, {1, 0, 1, -1}, {0, 0, 1, -1}}, 106, 33.87430298092722}
{{{1, 1, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, 1}}, 107, 26.36452797660028}
{{{-1, 0, -1, 1}, {1, 0, 1, -1}, {-1, 1, 1, -1}}, 108, 47.916146960893634}
{{{1, -1, 0, 1}, {0, -1, 1, -1}, {-1, 0, 1, -1}}, 109, 40.72905595320056}
{{{1, 1, -1, -1}, {0, 1, -1, 0}, {-1, -1, 1, 1}}, 110, 48.77089993316697}
{{{1, 1, -1, 0}, {0, 1, 0, 0}, {0, -1, 1, 1}}, 111, 28.264662506490403}
{{{0, 0, 1, -1}, {0, -1, -1, 1}, {1, 1, 0, 0}}, 112, 27.609640474436812}
{{{-1, -1, 0, 1}, {0, 0, 0, 1}, {-1, -1, 0, 1}}, 113, 29.11941547876375}
{{{1, -1, 0, 0}, {-1, -1, 1, 1}, {1, 1, 0, 0}}, 114, 32.72905595320056}
{{{0, 0, 1, 1}, {1, 1, 0, -1}, {1, -1, 0, 1}}, 115, 33.50977500432693}
{{{-1, -1, 0, 1}, {0, 0, -1, 0}, {-1, -1, 0, 1}}, 116, 27.219280948873624}
{{{0, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, -1, 0}}, 117, 27.609640474436812}
{{{0, 1, 1, -1}, {0, -1, 0, 1}, {1, -1, 0, 0}}, 118, 28.264662506490403}
{{{1, -1, 1, 0}, {0, -1, 1, -1}, {-1, 0, 1, -1}}, 119, 40.72905595320056}
{{{1, 0, -1, 0}, {0, -1, 1, 1}, {1, 0, -1, 1}}, 120, 33.87430298092722}
{{{-1, 0, -1, 1}, {1, -1, 0, 0}, {0, -1, -1, 1}}, 121, 33.219280948873624}
{{{-1, -1, 1, 1}, {0, 0, -1, 1}, {-1, -1, 1, 1}}, 122, 48.77089993316697}
{{{1, 1, -1, -1}, {-1, 1, -1, 0}, {1, -1, 0, 1}}, 123, 47.62565290544032}
{{{1, 1, 0, -1}, {-1, 0, 1, 1}, {-1, 1, 1, -1}}, 124, 47.62565290544032}
{{{0, 1, 1, -1}, {0, 1, 0, 1}, {1, 0, 0, 0}}, 125, 21.11941547876375}
{{{-1, 0, 1, 0}, {0, -1, 1, -1}, {1, 0, 1, 0}}, 126, 27.019550008653873}
{{{1, 1, -1, 1}, {1, 0, 1, -1}, {1, 0, 1, -1}}, 127, 47.38407798525415}
{{{-1, -1, 0, 1}, {0, 0, 1, 0}, {-1, -1, 0, 1}}, 128, 27.219280948873624}
{{{-1, 0, 1, -1}, {0, 0, 0, 1}, {1, 0, 0, 0}}, 129, 13.509775004326936}
{{{-1, 1, -1, 1}, {0, 1, -1, 1}, {1, 0, -1, 1}}, 130, 48.52932501298081}
{{{-1, 0, 1, 1}, {-1, -1, 1, 1}, {-1, -1, 1, 0}}, 131, 47.62565290544032}
{{{-1, -1, 1, 1}, {1, 0, 0, 0}, {0, 1, -1, -1}}, 132, 33.87430298092722}
{{{1, 1, -1, 0}, {0, 1, 0, 0}, {1, -1, 1, 1}}, 133, 33.87430298092722}
{{{0, 1, 1, -1}, {0, 0, 0, 1}, {1, 0, 1, 0}}, 134, 20.75488750216347}
{{{1, 0, 0, 1}, {1, 1, 1, -1}, {1, 1, -1, -1}}, 135, 47.916146960893634}
{{{0, 1, -1, -1}, {-1, 0, 0, 1}, {0, 1, 1, -1}}, 136, 35.11941547876375}
{{{1, 1, -1, 0}, {-1, 1, -1, 1}, {1, 0, 0, -1}}, 137, 39.87430298092722}
{{{-1, 1, -1, 1}, {-1, 0, -1, 1}, {0, 0, -1, 1}}, 138, 40.72905595320056}
{{{1, 0, 0, 0}, {0, 1, -1, 0}, {1, -1, 1, 1}}, 139, 26.36452797660028}
{{{-1, 0, 0, 1}, {0, -1, 0, 1}, {-1, 1, -1, 0}}, 140, 26.36452797660028}
{{{1, -1, 0, 0}, {0, -1, 0, 1}, {-1, 1, 0, 0}}, 141, 20.36452797660028}
{{{-1, 1, 1, -1}, {1, 0, 0, 1}, {1, -1, 0, 0}}, 142, 33.01955000865387}
{{{0, -1, 1, 1}, {0, 1, 0, -1}, {1, -1, 0, 1}}, 143, 35.774437510817336}
{{{1, 0, 1, -1}, {-1, 0, 0, 1}, {0, -1, -1, 1}}, 144, 33.50977500432693}
{{{1, -1, 0, 0}, {-1, 0, 0, 1}, {0, -1, -1, 1}}, 145, 26.36452797660028}
{{{0, 0, 1, -1}, {-1, -1, -1, 1}, {1, 1, 0, 0}}, 146, 33.50977500432693}
{{{-1, 1, -1, 1}, {-1, 1, -1, 1}, {1, 0, -1, 1}}, 147, 55.42592196522057}
{{{1, -1, 0, 0}, {0, -1, 0, 1}, {-1, 1, 0, 1}}, 148, 27.219280948873624}
{{{0, -1, -1, 1}, {0, 1, 1, -1}, {1, 0, -1, 0}}, 149, 35.11941547876375}
{{{-1, 1, -1, -1}, {-1, 0, 0, 1}, {0, 1, 1, -1}}, 150, 41.019550008653866}
{{{-1, -1, 0, 1}, {1, -1, 0, 1}, {1, -1, -1, 1}}, 151, 47.916146960893634}
{{{1, 1, -1, 1}, {1, -1, 1, 0}, {1, -1, 1, -1}}, 152, 55.42592196522057}
{{{0, 1, -1, -1}, {1, 0, 1, -1}, {-1, 1, -1, 0}}, 153, 40.72905595320056}
{{{-1, 1, -1, 1}, {-1, 0, 0, 1}, {1, -1, 0, 1}}, 154, 40.529325012980806}
{{{0, 1, -1, -1}, {1, 0, 1, -1}, {-1, 1, 0, 0}}, 155, 33.219280948873624}
{{{-1, -1, 0, 1}, {0, 1, 1, -1}, {1, 0, 0, 0}}, 156, 26.36452797660028}
{{{-1, -1, 0, 1}, {-1, 1, 1, -1}, {-1, 1, 1, -1}}, 157, 55.42592196522057}
{{{1, -1, 0, 0}, {0, -1, 0, 1}, {0, 1, 0, 0}}, 158, 15.609640474436812}
{{{1, 0, 0, 1}, {1, 1, 1, -1}, {1, 1, -1, 0}}, 159, 39.87430298092722}
{{{0, 1, -1, 1}, {0, 0, 1, -1}, {-1, -1, 1, -1}}, 160, 42.87076540327685}
{{{0, -1, -1, 1}, {1, -1, 1, 0}, {1, -1, 1, 1}}, 161, 48.52932501298081}
{{{0, 1, 0, -1}, {-1, 0, 1, 1}, {-1, 1, 0, -1}}, 162, 33.50977500432693}
{{{1, 0, 0, 0}, {-1, 1, 0, 0}, {1, -1, 1, 0}}, 163, 19.019550008653873}
{{{-1, 1, -1, -1}, {-1, 1, -1, 0}, {-1, 0, 1, -1}}, 164, 47.38407798525415}
{{{-1, 1, -1, 1}, {0, 0, -1, 1}, {1, -1, -1, 1}}, 165, 48.77089993316697}
{{{1, 1, -1, -1}, {-1, 1, 0, 1}, {1, -1, 0, 1}}, 166, 47.916146960893634}
{{{-1, 1, 1, -1}, {1, 0, 1, -1}, {1, 0, 1, -1}}, 167, 47.38407798525415}
{{{-1, 1, -1, 1}, {-1, 1, 0, 1}, {-1, 1, 0, 0}}, 168, 40.4063719565667}
{{{1, 1, -1, -1}, {-1, 1, 0, 0}, {1, -1, 0, 1}}, 169, 40.77089993316697}
{{{0, -1, 1, -1}, {-1, 1, -1, 1}, {1, -1, 0, 0}}, 170, 41.019550008653866}
{{{-1, -1, 1, -1}, {1, 0, 1, -1}, {1, 1, -1, -1}}, 171, 55.42592196522057}
{{{-1, -1, -1, 1}, {-1, 0, 0, 1}, {-1, -1, 0, 1}}, 172, 40.529325012980806}
{{{1, 1, -1, 1}, {0, 1, -1, 1}, {0, -1, 1, -1}}, 173, 50.6710344630571}
{{{1, 0, -1, 0}, {1, -1, 1, -1}, {-1, -1, 1, 0}}, 174, 40.4063719565667}
{{{-1, 0, -1, 1}, {1, -1, 0, 1}, {1, 0, 0, 0}}, 175, 25.509775004326936}
{{{0, 0, -1, 1}, {1, 1, 1, -1}, {-1, -1, 1, 0}}, 176, 41.26112492884004}
{{{0, 0, 1, 0}, {1, 0, 0, -1}, {0, 1, -1, 0}}, 177, 14.754887502163468}
{{{-1, -1, 1, 1}, {-1, 1, -1, 0}, {1, -1, 1, 1}}, 178, 55.42592196522057}
{{{1, -1, 0, 0}, {0, -1, 1, -1}, {-1, 0, 1, -1}}, 179, 33.219280948873624}
{{{1, 0, 0, 1}, {0, 1, 0, -1}, {0, -1, 1, 0}}, 180, 20.75488750216347}
{{{-1, -1, 0, 1}, {0, 0, -1, 1}, {-1, -1, 0, 1}}, 181, 33.87430298092722}
{{{-1, 1, 0, -1}, {-1, 1, 0, 0}, {-1, 0, 1, -1}}, 182, 32.72905595320056}
{{{-1, 1, -1, 1}, {0, 0, -1, 1}, {1, -1, 0, 1}}, 183, 41.019550008653866}
{{{1, 0, -1, 1}, {0, -1, 1, -1}, {-1, -1, 1, 0}}, 184, 40.72905595320056}
{{{1, 1, -1, -1}, {-1, 0, 1, 1}, {-1, 1, 1, -1}}, 185, 55.42592196522057}
{{{1, -1, 0, 0}, {0, -1, 1, 1}, {1, 1, 0, 0}}, 186, 26.36452797660028}
{{{1, 1, -1, -1}, {1, 1, 1, 0}, {0, -1, 1, 0}}, 187, 41.916146960893634}
{{{1, 1, 0, -1}, {1, 1, -1, 1}, {0, -1, 1, -1}}, 188, 48.52932501298081}
{{{1, 0, 0, 1}, {0, 1, 0, -1}, {1, 0, -1, 1}}, 189, 27.019550008653873}
{{{-1, 0, 1, 0}, {0, -1, 1, -1}, {1, 0, -1, 1}}, 190, 33.87430298092722}
{{{0, 0, -1, 1}, {1, 0, 1, -1}, {-1, 0, 1, -1}}, 191, 35.019550008653866}
{{{1, 1, 0, -1}, {-1, 1, 1, 0}, {1, 1, 1, 0}}, 192, 39.87430298092722}
{{{0, -1, -1, 1}, {1, -1, 1, 0}, {0, 0, 1, 1}}, 193, 35.11941547876375}
{{{1, 1, 1, -1}, {0, 0, -1, 1}, {1, -1, -1, 1}}, 194, 48.77089993316697}
{{{-1, -1, -1, 1}, {1, -1, 1, 0}, {1, -1, 1, 1}}, 195, 55.42592196522057}
{{{1, 1, 1, -1}, {0, -1, 1, 1}, {1, 0, 0, 0}}, 196, 33.87430298092722}
{{{0, -1, 1, 1}, {-1, 1, -1, 0}, {1, -1, 1, 1}}, 197, 48.52932501298081}
{{{-1, 0, 1, 0}, {1, 0, 0, 0}, {0, 1, -1, -1}}, 198, 19.509775004326936}
{{{-1, 0, 1, 0}, {1, -1, 1, -1}, {1, 0, 0, 0}}, 199, 27.019550008653873}
{{{0, 1, -1, -1}, {1, 1, 0, 0}, {-1, 1, -1, 0}}, 200, 33.50977500432693}
{{{0, 1, -1, 1}, {1, 1, -1, -1}, {1, 0, -1, 1}}, 201, 48.77089993316697}
{{{0, 1, 1, -1}, {1, 0, 0, 0}, {-1, -1, 1, 0}}, 202, 26.36452797660028}
{{{0, 1, -1, 1}, {-1, 1, -1, -1}, {1, 0, -1, 1}}, 203, 48.77089993316697}
{{{-1, 1, -1, -1}, {1, 1, -1, 0}, {-1, 1, 1, -1}}, 204, 55.42592196522057}
{{{0, -1, -1, 1}, {1, -1, 1, 1}, {1, 0, 1, 1}}, 205, 48.77089993316697}
{{{0, 1, -1, 1}, {1, -1, 1, 0}, {1, -1, 1, 0}}, 206, 41.019550008653866}
{{{-1, 0, 0, 1}, {-1, 1, -1, 0}, {-1, -1, -1, 1}}, 207, 39.87430298092722}
{{{0, 0, 1, 1}, {0, 1, 0, -1}, {1, -1, 0, 1}}, 208, 28.264662506490403}
{{{-1, 1, 1, 1}, {0, 0, 1, -1}, {-1, 1, 1, -1}}, 209, 48.77089993316697}
{{{1, 0, 0, 1}, {0, 1, 1, -1}, {1, 1, -1, 0}}, 210, 33.219280948873624}
{{{-1, 1, 1, 1}, {0, 0, 1, -1}, {-1, 0, 1, -1}}, 211, 40.72905595320056}
{{{1, 1, -1, 0}, {0, -1, 1, 1}, {1, 1, 0, -1}}, 212, 40.72905595320056}
{{{-1, 1, 1, -1}, {-1, 1, 0, 0}, {-1, 0, 1, -1}}, 213, 39.87430298092722}
{{{-1, 1, -1, 1}, {1, 1, -1, -1}, {1, 0, -1, 1}}, 214, 55.42592196522057}
{{{-1, -1, 1, -1}, {1, 0, 0, 0}, {0, 1, -1, 1}}, 215, 33.87430298092722}
{{{-1, -1, 0, 1}, {1, -1, 1, 0}, {-1, 1, 1, -1}}, 216, 47.38407798525415}
{{{-1, 1, 1, 1}, {0, -1, 0, 1}, {0, -1, 1, 1}}, 217, 43.16125945873016}
{{{-1, 1, -1, 1}, {-1, 0, -1, 1}, {1, -1, 0, 1}}, 218, 47.38407798525415}
{{{-1, -1, 1, 0}, {0, -1, 1, -1}, {1, 0, -1, 0}}, 219, 33.87430298092722}
{{{-1, -1, -1, 1}, {0, 1, -1, 0}, {-1, -1, 0, 1}}, 220, 41.26112492884004}
{{{-1, 1, -1, 1}, {-1, 0, 0, 1}, {0, -1, 1, 1}}, 221, 41.019550008653866}
{{{1, -1, 1, 0}, {0, 1, 1, -1}, {-1, -1, 1, 1}}, 222, 48.52932501298081}
{{{0, 1, 1, -1}, {1, 1, 0, 1}, {1, 0, 0, 0}}, 223, 26.36452797660028}
{{{-1, -1, 1, -1}, {1, 1, -1, 1}, {1, -1, 0, 0}}, 224, 47.916146960893634}
{{{-1, -1, 1, -1}, {1, -1, 0, 1}, {-1, -1, 1, 1}}, 225, 55.667496885406734}
{{{1, 1, -1, 1}, {1, 1, 0, 0}, {0, -1, 1, 1}}, 226, 41.26112492884004}
{{{1, 1, 1, -1}, {-1, 1, -1, 1}, {-1, -1, 1, 0}}, 227, 55.667496885406734}
{{{1, 1, -1, 1}, {1, 0, 0, 0}, {0, 1, 1, -1}}, 228, 33.87430298092722}
{{{-1, 1, -1, 1}, {0, -1, 1, -1}, {-1, -1, 1, -1}}, 229, 56.81274391313339}
{{{1, 1, -1, -1}, {-1, 1, 0, -1}, {1, -1, 1, 1}}, 230, 55.667496885406734}
{{{0, 1, -1, -1}, {1, 0, 0, 1}, {-1, 1, -1, -1}}, 231, 41.26112492884004}
{{{0, 0, -1, 1}, {0, -1, 1, 1}, {1, 0, 0, 0}}, 232, 21.11941547876375}
{{{-1, 0, -1, 1}, {0, 0, 1, -1}, {-1, -1, 1, -1}}, 233, 41.26112492884004}
{{{-1, -1, 1, -1}, {1, -1, 0, 1}, {0, -1, 1, 1}}, 234, 48.77089993316697}
{{{1, 1, -1, -1}, {0, 1, -1, 1}, {0, -1, 1, -1}}, 235, 50.6710344630571}
{{{-1, 0, 1, 1}, {0, 1, -1, -1}, {1, -1, -1, 1}}, 236, 48.77089993316697}
{{{-1, 0, -1, 1}, {0, 1, -1, -1}, {-1, -1, -1, 1}}, 237, 48.77089993316697}
{{{1, -1, 1, 1}, {1, 0, 0, 0}, {0, 1, -1, 1}}, 238, 33.87430298092722}
{{{-1, -1, -1, 1}, {1, -1, 1, -1}, {1, 1, 1, -1}}, 239, 63.70934086537315}
{{{-1, 0, 1, 1}, {0, 0, 0, 1}, {-1, -1, 0, 1}}, 240, 27.509775004326933}
{{{-1, -1, 0, 1}, {-1, 1, 0, 0}, {-1, -1, -1, 1}}, 241, 40.529325012980806}
{{{1, -1, -1, 0}, {0, -1, 1, 1}, {1, 1, 0, -1}}, 242, 40.72905595320056}
{{{1, -1, 0, 0}, {0, -1, 1, -1}, {-1, -1, 1, -1}}, 243, 40.72905595320056}
{{{1, -1, 1, 0}, {0, 1, 0, -1}, {-1, -1, 1, 0}}, 244, 33.50977500432693}
{{{1, -1, 1, 0}, {-1, 1, 0, -1}, {-1, -1, 1, 0}}, 245, 39.87430298092722}
{{{-1, 1, 0, -1}, {0, 1, -1, -1}, {-1, 1, 1, -1}}, 246, 48.77089993316697}
{{{1, -1, 1, -1}, {0, 1, -1, 1}, {1, -1, 0, 0}}, 247, 41.26112492884004}
{{{1, 1, -1, -1}, {-1, 1, -1, 1}, {1, 0, 0, 0}}, 248, 40.529325012980806}
{{{1, 0, 1, -1}, {1, 0, 0, 0}, {-1, 0, 1, 0}}, 249, 19.019550008653873}
